Date,Open,High,Low,Close,Volume,Daily_Return,MA_7_Close,STD_7_Close,Cumulative_Return,Momentum_7
1999-02-02,0.04,0.04,0.04,0.04,264096000,0.0,0.0414,0.0038,0.0,0.0
1999-02-03,0.04,0.04,0.04,0.04,75120000,0.0,0.04,0.0,0.0,-0.2
1999-02-04,0.04,0.04,0.04,0.04,181920000,0.0,0.04,0.0,0.0,0.0
1999-02-05,0.04,0.04,0.04,0.04,136848000,0.0,0.04,0.0,0.0,0.0
1999-02-08,0.04,0.04,0.04,0.04,154080000,0.0,0.04,0.0,0.0,0.0
1999-02-09,0.04,0.04,0.04,0.04,86976000,0.0,0.04,0.0,0.0,0.0
1999-02-10,0.04,0.04,0.04,0.04,148224000,0.0,0.04,0.0,0.0,0.0
1999-02-11,0.04,0.04,0.04,0.04,132240000,0.0,0.04,0.0,0.0,0.0
1999-02-12,0.04,0.04,0.04,0.04,109728000,0.0,0.04,0.0,0.0,0.0
1999-02-16,0.04,0.05,0.04,0.04,211008000,0.0,0.04,0.0,0.0,0.0
1999-02-17,0.04,0.04,0.04,0.04,67728000,0.0,0.04,0.0,0.0,0.0
1999-02-18,0.04,0.04,0.04,0.04,70704000,0.0,0.04,0.0,0.0,0.0
1999-02-19,0.04,0.04,0.04,0.04,75360000,0.0,0.04,0.0,0.0,0.0
1999-02-22,0.04,0.04,0.04,0.04,205248000,0.0,0.04,0.0,0.0,0.0
1999-02-23,0.04,0.05,0.04,0.05,138096000,25.0,0.0414,0.0038,0.25,0.25
1999-02-24,0.05,0.05,0.05,0.05,612768000,0.0,0.0429,0.0049,0.25,0.25
1999-02-25,0.05,0.05,0.05,0.05,149136000,0.0,0.0443,0.0053,0.25,0.25
1999-02-26,0.05,0.05,0.05,0.05,172608000,0.0,0.0457,0.0053,0.25,0.25
1999-03-01,0.05,0.05,0.04,0.05,92160000,0.0,0.0471,0.0049,0.25,0.25
1999-03-02,0.05,0.05,0.04,0.05,55248000,0.0,0.0486,0.0038,0.25,0.25
1999-03-03,0.05,0.05,0.04,0.04,61392000,-20.0,0.0486,0.0038,0.0,0.0
1999-03-04,0.04,0.04,0.04,0.04,57360000,0.0,0.0471,0.0049,0.0,-0.2
1999-03-05,0.04,0.04,0.04,0.04,78768000,0.0,0.0457,0.0053,0.0,-0.2
1999-03-08,0.04,0.05,0.04,0.04,75888000,0.0,0.0443,0.0053,0.0,-0.2
1999-03-09,0.04,0.05,0.04,0.05,143184000,25.0,0.0443,0.0053,0.25,0.0
1999-03-10,0.05,0.05,0.04,0.05,235344000,0.0,0.0443,0.0053,0.25,0.0
1999-03-11,0.04,0.05,0.04,0.04,54288000,-20.0,0.0429,0.0049,0.0,-0.2
1999-03-12,0.04,0.04,0.04,0.04,90768000,0.0,0.0429,0.0049,0.0,0.0
1999-03-15,0.04,0.04,0.04,0.04,108816000,0.0,0.0429,0.0049,0.0,0.0
1999-03-16,0.04,0.05,0.04,0.04,79152000,0.0,0.0429,0.0049,0.0,0.0
1999-03-17,0.04,0.04,0.04,0.04,51360000,0.0,0.0429,0.0049,0.0,0.0
